time,Lyman_alpha,MgII,au_factor,Lyman_alpha_corr,MgII_corr
2017-05-31,0.006099536,0.2635046,1.0280617,0.0062706997,0.270899
2017-06-01,0.006126137,0.26374632,1.0283614,0.006299883,0.27122656
2017-06-02,0.006139511,0.26391712,1.0286528,0.006315425,0.27147907
2017-06-03,0.00622032,0.26444522,1.0289363,0.0064003128,0.27209726
2017-06-04,0.0062898723,0.264842,1.0292126,0.0064736158,0.27257872
2017-06-05,0.0063046734,0.264916,1.0294818,0.0064905463,0.2727262
2017-06-06,0.006300501,0.26493764,1.0297443,0.006487905,0.27281803
2017-06-07,0.006237612,0.26461765,1.0300003,0.0064247428,0.27255628
2017-06-08,0.006193093,0.2643759,1.03025,0.0063804337,0.27237326
2017-06-09,0.006172942,0.26424384,1.0304934,0.006361176,0.27230152
2017-06-10,0.0061815926,0.2641686,1.0307304,0.0063715554,0.2722866
2017-06-11,0.0062088254,0.264326,1.0309609,0.0064010564,0.27250978
2017-06-12,0.0062177842,0.26433548,1.0311849,0.006411685,0.27257878
2017-06-13,0.006240718,0.26439744,1.0314021,0.0064366898,0.27270007
2017-06-14,0.0063123037,0.2647232,1.0316119,0.006511848,0.2730916
2017-06-15,0.006370012,0.26517937,1.0318143,0.00657267,0.27361587
2017-06-16,0.0063799634,0.26531315,1.0320086,0.0065841773,0.27380547
2017-06-17,0.006433575,0.26553172,1.0321943,0.006640699,0.2740803
2017-06-18,0.0064388216,0.26554096,1.0323706,0.0066472497,0.27413666
2017-06-19,0.0063959174,0.26532826,1.0325369,0.0066040205,0.27396122
2017-06-20,0.0063835518,0.26523814,1.0326924,0.006592246,0.27390942
2017-06-21,0.0063352,0.26500002,1.0328367,0.0065432265,0.27370173
2017-06-22,0.006268134,0.2647661,1.0329689,0.0064747874,0.27349514
2017-06-23,0.006228294,0.26450586,1.0330886,0.0064343796,0.27325797
2017-06-24,0.0061814133,0.26425266,1.0331954,0.0063866074,0.27302462
2017-06-25,0.006176936,0.26418182,1.0332894,0.0063825627,0.27297628
2017-06-26,0.006124997,0.26401326,1.0333709,0.0063293935,0.2728236
2017-06-27,0.0061409953,0.26403937,1.0334399,0.0063463496,0.2728688
2017-06-28,0.00613843,0.26401275,1.0334973,0.006344051,0.27285647
2017-06-29,0.0061315726,0.26394257,1.0335435,0.006337247,0.27279612
2017-06-30,0.0061536287,0.26397568,1.0335791,0.006360262,0.27283975
2017-07-01,0.0061412216,0.26393571,1.0336047,0.0063475957,0.2728052
2017-07-02,0.006113545,0.2637635,1.033621,0.0063190884,0.27263147
2017-07-03,0.006086672,0.26359957,1.0336282,0.0062913564,0.27246395
2017-07-04,0.0060753203,0.26347634,1.033627,0.006279615,0.27233627
2017-07-05,0.0061257463,0.2637334,1.0336177,0.00633168,0.27259952
2017-07-06,0.006132056,0.26388597,1.0336004,0.0063380958,0.27275267
2017-07-07,0.0061534876,0.2640401,1.0335758,0.006360096,0.27290547
2017-07-08,0.0062432224,0.26444405,1.0335438,0.006452644,0.2733145
2017-07-09,0.0062712245,0.26470834,1.0335046,0.006481339,0.2735773
2017-07-10,0.006269848,0.2648924,1.0334582,0.006479626,0.27375522
2017-07-11,0.006317499,0.2651417,1.0334048,0.006528534,0.2739987
2017-07-12,0.006374593,0.26559237,1.033344,0.0065871477,0.27444828
2017-07-13,0.006432142,0.26598477,1.0332757,0.0066461763,0.27483562
2017-07-14,0.006464228,0.26618457,1.0331998,0.006678839,0.27502185
2017-07-15,0.00636985,0.26568443,1.0331155,0.006580791,0.2744827
2017-07-16,0.006315132,0.2652658,1.0330224,0.006523673,0.2740255
2017-07-17,0.006229465,0.26466313,1.0329201,0.00643454,0.27337587
2017-07-18,0.006178246,0.26419133,1.032808,0.0063809413,0.27285892
2017-07-19,0.0061305435,0.26394975,1.0326849,0.00633092,0.27257693
2017-07-20,0.006115363,0.26390085,1.0325507,0.0063144225,0.272491
2017-07-21,0.0061442344,0.26350638,1.0324048,0.0063433372,0.27204525
2017-07-22,0.0060801143,0.26369163,1.0322465,0.0062761763,0.27219477
2017-07-23,0.0060756975,0.26357895,1.0320756,0.0062705795,0.27203342
2017-07-24,0.006065742,0.26354748,1.0318924,0.006259193,0.27195266
2017-07-25,0.006081773,0.26362953,1.031697,0.006274547,0.2719858
2017-07-26,0.0060875365,0.2636783,1.0314897,0.0062792315,0.27198148
2017-07-27,0.0060941596,0.26367962,1.0312712,0.0062847314,0.2719252
2017-07-28,0.0061237123,0.26377562,1.0310419,0.0063138036,0.27196372
2017-07-29,0.0061029335,0.26368228,1.0308025,0.006290919,0.27180433
2017-07-30,0.0060517765,0.26337335,1.0305535,0.0062366794,0.2714203
2017-07-31,0.00602977,0.26319912,1.0302957,0.006212446,0.27117294
2017-08-01,0.006070219,0.2634914,1.0300295,0.006252505,0.2714039
2017-08-02,0.006127943,0.263959,1.0297556,0.006310283,0.27181324
2017-08-03,0.006232417,0.2645207,1.0294743,0.006416113,0.27231726
2017-08-04,0.0062621026,0.264674,1.0291862,0.00644487,0.27239886
2017-08-05,0.0062603913,0.26469725,1.0288917,0.0064412644,0.2723448
2017-08-06,0.0063244454,0.2649657,1.0285912,0.0065052686,0.2725414
2017-08-07,0.006367051,0.26514673,1.0282847,0.006547141,0.2726463
2017-08-08,0.006380431,0.26518694,1.0279728,0.0065589095,0.27260497
2017-08-09,0.0063876617,0.26516843,1.0276554,0.006564315,0.27250177
2017-08-10,0.0063294414,0.2648504,1.0273325,0.006502441,0.27208945
2017-08-11,0.0062827263,0.2645176,1.0270042,0.0064523867,0.27166072
2017-08-12,0.0062214048,0.264136,1.02667,0.0063873297,0.27118048
2017-08-13,0.0061581377,0.2637847,1.0263296,0.006320279,0.27073005
2017-08-14,0.006120582,0.2635563,1.0259826,0.006279611,0.2704042
2017-08-15,0.0061191763,0.2636414,1.0256286,0.006276002,0.27039814
2017-08-16,0.006155772,0.26386455,1.0252666,0.0063113077,0.2705315
2017-08-17,0.006182066,0.26417708,1.0248965,0.006335978,0.27075416
2017-08-18,0.006226183,0.26437238,1.0245173,0.0063788323,0.2708541
2017-08-19,0.006246771,0.26440072,1.0241288,0.0063974983,0.27078038
2017-08-20,0.0062657786,0.2646502,1.0237306,0.0064144693,0.2709305
2017-08-21,0.0063555427,0.26521286,1.0233226,0.00650377,0.2713983
2017-08-22,0.0063544735,0.2653288,1.0229046,0.0065000206,0.27140605
2017-08-23,0.00634722,0.26540694,1.0224771,0.0064898874,0.27137253
2017-08-24,0.006315427,0.26527795,1.0220405,0.006454622,0.2711248
2017-08-25,0.006261748,0.26496997,1.021595,0.0063969702,0.270692
2017-08-26,0.006166445,0.2643909,1.0211415,0.006296813,0.26998052
2017-08-27,0.00617525,0.26417378,1.0206804,0.0063029565,0.269637
2017-08-28,0.006246566,0.26438007,1.0202125,0.006372825,0.26972386
2017-08-29,0.0063156453,0.2647828,1.0197382,0.0064403047,0.27000913
2017-08-30,0.0064054104,0.2653159,1.0192583,0.0065287673,0.2704254
2017-08-31,0.0064367093,0.26560867,1.0187732,0.006557547,0.27059498
2017-09-01,0.0064207306,0.26555887,1.0182837,0.0065381257,0.27041426
2017-09-02,0.0065164366,0.26599246,1.0177904,0.0066323667,0.2707246
2017-09-03,0.006731154,0.2672876,1.0172936,0.0068475595,0.27190998
2017-09-04,0.0069077103,0.26825467,1.0167941,0.007023719,0.27275977
2017-09-05,0.006910448,0.26868212,1.016292,0.0070230328,0.2730595
2017-09-06,0.0069943415,0.26877216,1.015788,0.007104768,0.27301553
2017-09-07,0.006861646,0.26829058,1.0152822,0.006966507,0.27239063
2017-09-08,0.0067309495,0.26773143,1.0147746,0.006830396,0.27168703
2017-09-09,0.006619226,0.26680526,1.0142652,0.0067136507,0.2706113
2017-09-10,0.006507704,0.2657319,1.013754,0.006597211,0.26938677
